neg,neu,pos,preds,category,texts,processed,wc,uwc,hit
0.45694606064051196,0.49793223338755516,0.04512170597193286,neu,neu,"นึกว่ากระโดดไป 7 nm. ทั้งระบบ cpu core 7 nm.,I/O ยังเป็น 14 nm.แบบนี้ intel ยังยิ้มได้อยู่","นึก|ว่า|กระโดด|ไป|7|nm|.|ทั้ง|ระบบ|cpu|core|7|nm|.,|i|/|o|ยัง|เป็น|14|nm|.|แบบนี้|intel|ยัง|ยิ้ม|ได้|อยู่",28,23,True
0.18769192266702642,0.7390355005445285,0.07327257678844518,neu,neu,XS MAX ขายดีหรือครับ,xs|max|ขายดี|หรือ|ครับ,5,5,True
0.17334072041562276,0.4648627995011922,0.36179648008318493,neu,pos,พร้อมช่องเฮดโฟน,พร้อม|ช่อง|เฮด|โฟน,4,4,False
0.09877851799330514,0.7503328892568812,0.1508885927498136,neu,neu,ความตั้งใจแรก น่าจะเป็นกฎไว้ใช้จัดการกับ Mod H ทั้งหลายหรือเปล่านะ?,ความตั้งใจ|แรก|น่าจะเป็น|กฎ|ไว้|ใช้|จัดการ|กับ|mod|h|ทั้งหลาย|หรือเปล่า|นะ|?,14,14,True
0.2823196660440099,0.5637054047627735,0.15397492919321668,neu,neu,ก็​เป็น​วิธี​หา​เงิน​เข้า​ประเทศ​วิธี​นึง​ล่ะ​นะ​ครับ​,ก็|​|เป็น|​|วิธี|​|หา|​|เงิน|​|เข้า|​|ประเทศ|​|วิธี|​|นึง|​|ล่ะ|​|นะ|​|ครับ|​,24,12,True
0.2317591840038201,0.5629911561340935,0.20524965986208651,neu,neu,สี่หมื่นแหนะ ผ่านๆ,สี่|หมื่น|แห|นะ|ผ่านๆ,5,5,True
0.18040404302398966,0.5210885470438391,0.2985074099321712,neu,neu,จำได้ว่าเคยมีข่าวว่าไมโครซอฟท์มีระบบค้นหาภาพอนาจารเด็ก,จำได้|ว่า|เคย|มี|ข่าว|ว่า|ไมโครซอฟท์|มีระบบ|ค้นหา|ภาพ|อนาจาร|เด็ก,12,11,True
0.17698298095331233,0.5370429526139752,0.2859740664327125,neu,neg,รอให้ออกแบบการผับให้ดีกว่านี้ก่อน,รอ|ให้|ออกแบบ|การ|ผับ|ให้|ดีกว่า|นี้|ก่อน,9,8,False
0.2291371927134885,0.5171141973230228,0.2537486099634888,neu,pos,ดูเจ๋งเลย,ดู|เจ๋ง|เลย,3,3,False
0.2092098979391104,0.3700198006970651,0.42077030136382465,pos,neu,แข่งกันเยอะๆแข่งกันพัฒนาดีแล้วๆ แล้วก็ลดราคาแข่งกันด้วยตัวท๊อปๆราคาอย่าเกิน 20k เลยแค่นี้ก็เป็นบุญละ,แข่ง|กัน|เยอะ|ๆ|แข่ง|กัน|พัฒนา|ดีแล้ว|ๆ|แล้วก็|ลดราคา|แข่ง|กัน|ด้วย|ตัว|ท๊อปๆ|ราคา|อย่า|เกิน|20|k|เลย|แค่นี้|ก็|เป็นบุญ|ละ,26,21,False
0.21506429340388575,0.6396351447989381,0.1453005617971762,neu,neg,ถ้าอนาคตตัวมือถือเก็บ Log ไฟล์ว่าคนซื้อใช้สายที่ได้รับรองหรือไม่ ถ้าไม่ ประกันขาด,ถ้า|อนาคต|ตัว|มือถือ|เก็บ|log|ไฟล์|ว่า|คนซื้อ|ใช้|สาย|ที่|ได้|รับรอง|หรือไม่|ถ้า|ไม่|ประกัน|ขาด,19,18,False
0.45314472741682704,0.5209059961033174,0.025949276479855687,neu,neg,ยุคนี้ทำอะไรโจ่งแจ้งไม่ได้แล้วมั้งนะ ขายหน้าคนเขาไปทั่วโลก,ยุค|นี้|ทำ|อะไร|โจ่งแจ้ง|ไม่|ได้|แล้ว|มั้ง|นะ|ขายหน้า|คน|เขา|ไป|ทั่วโลก,15,15,False
